global_step,seed,method,env_id,mean_episode_reward,std_episode_reward,mean_success_rate,std_success_rate,mean_episode_length,label,experiment,source_path
140000,0,sac_her,FetchPush-v3,-43.05,16.6657583085799,0.1,0.3,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
150000,0,sac_her,FetchPush-v3,-45.0,15.0,0.1,0.3,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
160000,0,sac_her,FetchPush-v3,-50.0,0.0,0.0,0.0,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
170000,0,sac_her,FetchPush-v3,-45.1,14.70340096712322,0.1,0.3,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
180000,0,sac_her,FetchPush-v3,-50.0,0.0,0.0,0.0,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
190000,0,sac_her,FetchPush-v3,-45.65,13.210885662967492,0.1,0.3,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
200000,0,sac_her,FetchPush-v3,-49.9,0.4358898943540673,0.0,0.0,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
210000,0,sac_her,FetchPush-v3,-44.6,14.967965793654129,0.1,0.3,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
220000,0,sac_her,FetchPush-v3,-50.0,0.0,0.0,0.0,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
230000,0,sac_her,FetchPush-v3,-50.0,0.0,0.0,0.0,50.0,FetchPushSparse SAC+HER,phase3_fetch_push_sparse,outputs/phase3_fetch_push_sparse/rl/sac_her/seed_0/eval_metrics.csv
